# p1 - c1 sync,p1 - c2 sync,p1 - c3 sync,p2 - c1 sync,p2 - c2 sync,p2 - c3 sync,p3 - c1 sync,p3 - c2 sync,p3 - c3 sync,p4 - c1 sync,p4 - c2 sync,p4 - c3 sync,p5 - c1 sync,p5 - c2 sync,p5 - c3 sync,c1 - p1,c1 - p2,c1 - p3,c1 - p4,c1 - p5,c2 - p1,c2 - p2,c2 - p3,c2 - p4,c2 - p5,c3 - p1,c3 - p2,c3 - p3,c3 - p4,c3 - p5
494.85302,595.88599,726.93491,496.38700,597.89991,728.73902,500.59104,602.36812,733.14214,2737.32591,635.61487,1808.86889,2720.46208,2779.47712,2779.47712,37.00709,37.21404,33.30207,24.61386,49.53122,26.56102,30.81107,34.06215,25.87295,31.85701,29.96087,37.48894,39.56699,25.09809,41.01706
354.73204,455.77002,586.81297,356.48799,458.00495,588.83905,360.13389,461.90906,592.68308,2597.34917,495.63313,1668.88714,2580.41787,2639.43291,2639.43386,37.01210,37.22286,33.31614,24.83821,50.52400,27.55904,30.88880,34.08790,26.01600,32.57084,30.29394,37.54902,39.68406,25.13003,41.11791
301.56422,402.60601,533.64301,303.23792,404.75893,535.58803,306.90098,408.67615,539.44802,2544.12985,442.40785,1615.66281,2527.20690,2586.23099,2586.23099,37.01401,37.26888,33.32496,24.95193,50.55404,27.60386,31.00896,34.11603,26.06893,33.58793,35.50982,37.68182,40.06910,25.16603,41.17990
244.33398,345.37888,476.41087,246.00101,347.53394,478.34897,249.79615,351.56918,482.34105,2486.94706,385.22005,1558.47597,2469.73515,2528.76019,2528.76019,37.01711,37.27984,33.33402,25.05589,50.58193,27.63820,32.04203,34.17921,26.16811,34.28102,35.66289,37.91404,40.13205,25.19417,41.27502
166.29004,267.34114,398.36502,167.79399,269.32693,400.14100,171.76890,273.54002,404.31190,2408.79989,307.06787,1480.32403,2391.71219,2450.73819,2450.73819,37.01520,37.30106,33.34212,25.93899,50.74787,27.66895,32.73702,34.42502,26.22604,35.67791,35.77805,37.96291,40.21907,25.21896,41.34083
2307.49297,167.55295,298.57087,2308.66504,230.83401,1380.08595,71.80381,258.65793,1358.30498,2308.64596,206.91013,1380.16701,2291.61811,2350.64411,2350.64411,35.28595,27.06194,33.35404,25.98000,50.77600,28.28002,22.59707,21.68679,26.29995,35.81405,36.14593,26.39914,22.96686,25.24495,41.39113
2204.77486,1275.60186,1249.92085,2201.12896,123.30103,1272.54701,2207.75509,153.47409,1278.88107,2205.88803,104.14696,1277.40407,2188.57288,2247.59984,2247.60103,35.32505,27.82106,35.53700,26.01194,50.80485,3.06797,22.70007,24.70517,26.35717,36.00717,31.39901,26.80397,22.72701,25.27213,41.50105
2074.18799,1145.02001,1119.33994,2070.25909,39.65902,1141.67309,2076.87306,22.59898,1148.00000,2074.36681,1172.62197,1173.57898,2057.73902,2116.76693,2116.76693,35.35700,27.90284,35.57301,26.04389,50.90594,3.10779,23.93603,24.80006,22.12811,36.23509,31.43597,26.97396,22.76802,21.20805,41.61501
1992.36703,1063.20190,1037.52398,1988.35707,2047.41716,2047.41502,1985.51297,2044.60692,2044.60692,1989.48908,1087.74304,1088.70006,1975.80314,2034.84011,2034.84106,35.43997,35.80713,35.59995,26.08299,50.94886,3.14307,23.03791,39.78801,22.20297,36.50093,31.45814,29.80590,45.76778,21.35086,41.69798
1873.27790,944.11707,918.43891,1873.10290,1932.16300,1932.16300,1870.44001,1929.53396,1929.53610,1870.13912,968.39404,969.34819,1858.62398,1917.67097,1917.67097,35.52103,35.88295,35.63023,26.12305,52.60491,3.17597,31.11696,39.88981,22.55702,36.75985,31.49104,30.19190,45.90511,21.71087,41.73994
