# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
40.96198,40.95793,56.84519,2748.27814,66.12587,67.16895,220.99113,134.15313
1651.07799,37.48298,58.13313,739.61520,22.73512,52.51217,63.48801,212.47506
38.76495,36.45301,663.91683,37.85801,43.02096,22.11094,186.03301,197.29114
41.35704,225.43001,50.90499,50.64106,183.88295,73.90022,65.32884,216.23397
72.70193,72.57605,738.82508,150.62690,46.27109,290.16495,70.66393,93.32013
459.58996,447.58916,60.05001,59.92317,213.55510,87.37993,47.35494,370.14699
1643.66603,457.65495,52.55508,52.69599,248.01493,89.77699,211.01189,89.49113
712.64696,66.21194,111.93895,110.89993,27.29797,45.42184,115.09800,46.15903
47.59789,650.41494,36.63898,36.38005,46.73100,124.31097,97.11695,124.41087
236.89294,39.81900,77.96597,77.78811,73.37999,46.89598,151.08395,46.91482
134.18484,134.16696,41.78715,41.36801,45.48788,69.15498,45.41397,182.34992
267.49492,36.31997,38.53178,87.90779,201.30110,49.22390,79.18000,67.30390
563.22598,37.30106,37.84585,37.76383,695.49799,45.94588,403.50580,45.98999
35.41398,36.19313,35.57801,460.51002,46.62609,159.66892,77.86489,121.76299
36.14593,35.86888,261.50298,262.71987,45.87412,44.45505,281.20017,563.16304
35.76303,160.91204,920.75300,1750.56410,199.26786,49.14904,73.87614,74.87392
370.60308,37.28604,38.70988,38.10692,30.97510,67.25001,44.95716,67.52706
42.09900,437.37793,43.72907,235.60596,89.38909,192.44194,44.85321,123.20304
174.36004,124.46499,130.52797,130.66506,50.24409,48.18606,68.05301,438.26914
177.74415,3281.35419,59.33094,82.69715,214.30802,44.24691,417.70196,72.57509
34.71804,1212.91113,43.51401,1711.65895,85.78587,517.71903,31.98004,308.32100
53.50089,218.67800,1092.36693,1046.55600,45.37201,66.33306,765.45501,44.76595
42.23394,306.95391,2078.64499,131.02388,47.20712,50.20094,132.58004,252.22611
1300.33898,512.99000,939.94284,194.58294,23.26798,44.89183,343.13607,52.87194
37.63604,38.26904,258.21400,3797.37496,133.57592,94.60592,132.96199,514.75596
545.47811,358.63709,36.21292,1470.78085,193.13812,61.14411,69.10181,92.33785
288.94186,289.49404,44.17205,43.99514,45.57014,96.75288,45.27211,96.74382
386.40714,386.93714,35.97403,35.23684,124.53008,73.90809,124.20893,391.19101
1276.68905,516.66903,35.57801,2549.62301,23.71597,184.40795,170.05515,214.01691
37.83107,37.40907,128.30901,425.56715,45.38488,108.10804,185.42194,114.89105
672.12081,36.20696,37.39405,37.05215,48.42401,67.53087,312.23297,45.80688
635.14400,40.52019,34.38020,1276.65615,23.64898,205.29103,81.46000,46.05913
534.41596,1368.42203,52.69790,631.11305,50.92311,72.22414,22.10593,209.30004
35.99000,35.97999,35.10308,35.72702,46.18812,68.31312,45.97211,217.76700
85.52003,207.17502,678.58100,678.25294,67.66486,503.72601,40.49897,367.23709
227.36406,436.45692,38.90896,37.95099,35.12502,44.28101,49.39008,45.36796
594.49506,2558.80094,77.90709,77.89302,225.17419,85.39200,23.18096,206.24995
123.51799,507.87401,51.59903,51.75090,44.95621,69.77105,23.61894,69.55600
88.26113,87.56804,622.33400,622.30802,66.70094,47.51110,67.57402,47.46199
36.73410,37.93001,35.77304,34.04212,46.11397,44.68107,71.94805,43.30111
105.56102,105.43609,36.78799,35.75706,188.11989,44.08908,48.18296,44.35301
37.16397,38.15413,36.02481,434.86094,69.40889,51.11718,207.16500,149.95313
349.78008,350.35086,38.90204,2036.37314,73.71402,43.66493,73.30608,45.15004
35.82215,35.84909,33.89597,34.14202,183.01201,67.65199,183.17103,67.68894
55.80807,55.36413,43.66016,111.60302,45.91823,68.21299,47.88995,44.87896
215.51013,203.94707,252.94089,253.37791,154.65403,195.16802,166.14103,563.01117
69.19789,5058.20298,1201.01309,248.88396,48.97881,70.87016,185.67991,189.58187
399.06096,2987.09202,1467.62419,2558.62498,222.52512,0.37503,23.79704,0.00000
599.61510,955.45506,488.03282,453.07302,21.91997,44.96002,23.86498,68.59207
2804.41999,1293.41507,66.28609,1320.31512,205.00398,74.07784,217.68212,218.09697
742.97690,38.99503,254.35305,255.15413,22.34983,22.90702,43.80703,43.99204
108.50382,109.58099,240.80205,513.85713,44.62981,249.49193,43.86616,75.76919
110.38518,1065.81998,292.84382,36.46183,93.08887,135.95819,25.26808,392.04383
62.79612,63.77721,213.32216,428.20716,47.07789,98.55413,186.21612,58.38513
1213.59181,43.99586,35.99787,35.15697,23.32997,205.72901,72.92295,46.45395
37.52398,37.52089,43.77198,993.67285,45.98308,400.84505,218.29820,45.86387
308.15315,142.81821,63.79604,1506.50787,185.88901,43.83016,67.71016,111.66191
34.26600,35.61902,34.76882,34.62005,43.88595,43.99085,183.50697,43.98894
2619.14706,164.33620,35.87484,35.73298,141.36505,44.53182,23.38481,44.25502
2825.12188,484.09200,519.08898,34.43193,213.73200,80.77097,184.49497,44.60287
702.28601,2878.45302,505.02396,2503.87788,32.70483,26.24083,192.17396,55.13883
37.69588,878.96085,39.44302,2739.22896,45.03894,68.68196,114.02822,69.77510
37.78887,37.26077,33.47015,731.12893,46.13090,334.04708,46.42892,70.28294
38.43713,37.72998,40.56191,40.43889,44.76190,45.38178,46.28301,44.98506
197.24083,35.70485,36.83400,1408.76889,74.72301,148.66185,57.43814,93.47987
1453.01890,34.98983,38.05399,37.57691,22.83502,75.26207,191.97702,75.60802
179.56018,180.04012,97.08595,96.05598,45.32099,49.86477,68.26496,210.07586
36.75103,37.20307,52.35910,2491.56308,186.45692,46.92698,120.02110,44.19184
1409.41787,37.68396,70.23501,382.51781,21.65413,80.56283,66.03217,44.53206
1584.99789,101.97997,2458.09317,833.00209,23.87619,22.47000,100.14987,44.59310
123.34204,185.88686,367.77401,42.16599,158.19502,23.22793,95.85285,315.05203
317.14797,47.76406,1212.49509,1114.42590,21.68298,210.06012,69.35191,216.25590
700.32501,40.25197,41.91995,258.07405,102.94890,46.33904,391.33692,84.78618
2483.86598,2552.26898,1042.55700,2885.42199,79.53095,108.55722,45.75706,81.26783
460.06703,528.46718,1484.43198,2009.67789,56.39696,100.18301,184.93891,60.15801
1490.71407,39.45303,42.15693,1246.66286,353.70898,45.44997,232.90682,416.09097
