# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
38.13100,37.66394,36.76796,36.12614,46.33403,52.26517,46.51403,53.09105
45.99285,45.66598,40.94100,41.14294,46.29612,45.12620,46.92101,44.98196
36.09300,36.17406,64.54992,64.72492,73.33016,46.55814,73.11797,46.19217
37.22882,37.93097,34.33800,34.39617,130.37801,164.13999,129.87304,163.58995
36.23891,36.41105,34.50298,34.38711,46.04983,61.94901,45.58897,62.07609
35.25400,34.71589,120.11600,120.25905,75.83213,46.09489,76.05886,46.04888
34.56903,34.67798,38.39898,38.31100,48.30694,46.88191,48.14887,47.14012
34.24096,34.28292,34.11913,34.23595,43.96105,138.12995,44.08002,137.72082
50.16112,50.11606,36.25202,36.41796,45.27497,42.66500,45.28403,42.47499
34.79695,34.57713,34.28912,34.15012,89.49900,155.28488,89.69712,155.05409
35.00700,35.70318,35.12907,34.95097,46.09609,156.58808,45.71104,156.44097
36.13806,35.91895,34.99222,35.41398,45.84002,49.08586,46.44895,48.75708
39.91795,39.52098,34.41191,34.49202,45.20512,46.04411,45.66503,45.93992
71.42186,72.25990,34.81913,34.67202,58.73489,65.85503,58.21991,65.73105
34.67703,34.81221,40.38501,40.17401,46.29302,46.66185,46.46087,46.80395
34.93094,35.04395,35.81500,35.96020,46.50903,45.80998,46.20385,45.73107
37.33301,37.69588,40.00306,40.10105,45.45212,44.45601,45.15004,44.16513
35.24113,35.24017,71.63715,71.64812,44.50107,45.77899,44.62409,45.82906
35.97903,35.97903,39.97207,39.98804,44.96408,50.56310,44.92712,50.55308
40.76600,40.25912,278.20110,278.70107,59.38792,44.92807,59.78584,44.80100
35.25209,36.40509,35.80189,35.40897,59.95512,71.09690,58.82001,71.43307
181.59413,182.41906,46.24605,46.19598,98.92797,47.23406,98.09685,47.08600
72.36791,72.56007,46.61703,46.61608,128.42298,77.42620,128.14593,77.32415
58.70008,58.52389,46.06295,46.15498,44.80696,46.89097,127.66004,46.50211
112.26821,111.85217,42.61208,42.80519,43.39886,45.98093,44.19589,46.06795
83.18210,84.16605,33.14185,33.00381,45.94803,45.35294,44.90018,45.40896
38.07592,37.56714,116.46390,116.58692,47.58286,52.11282,47.96505,51.86486
37.72593,37.67490,40.84802,40.67802,166.52608,46.54098,166.09478,46.79203
112.66208,112.50305,56.37693,56.06294,45.34507,49.40510,45.34006,49.71719
43.33210,43.86115,37.37020,36.88812,52.99115,169.91091,52.46592,169.12413
42.48786,42.38605,103.32990,103.33204,48.45500,54.29411,48.48981,54.15511
37.97507,38.46407,89.70189,90.18588,45.60304,44.16990,45.12596,43.73813
39.47902,39.66808,40.25698,40.14301,133.43406,44.94405,133.65388,44.93594
37.71877,37.37879,48.51413,48.49720,45.10498,198.29106,45.57109,209.93090
35.91800,36.09014,37.74309,37.60219,45.45808,46.69094,45.05992,46.33379
39.92200,40.98797,42.99808,43.12110,45.72606,46.18716,44.45910,45.63212
41.13007,41.40615,78.29690,78.73297,45.59398,45.75181,45.49098,45.13907
40.78984,40.97104,51.95093,52.01197,44.62600,58.10595,44.55185,58.04396
60.77695,61.16796,121.51408,121.00601,45.33911,45.37296,45.12405,45.39490
40.45701,40.20119,89.12301,89.13016,44.52515,44.17491,44.64293,44.18087
100.35706,101.01604,35.80904,35.40397,51.87702,44.35182,50.96698,44.54303
36.04579,35.50601,33.92696,33.52308,45.24302,45.66193,45.28594,45.82286
74.89181,75.17791,103.31821,103.23811,45.75610,52.20199,45.48192,51.95308
35.58302,35.41112,90.64317,90.37805,47.59002,45.81809,47.49799,45.60590
36.54099,36.47709,33.67019,33.26797,60.51993,45.18223,60.38594,45.48597
62.08777,61.69677,47.18781,46.64302,44.55090,44.73996,44.91401,44.85011
61.67483,61.54084,33.71119,33.82301,43.71309,155.16996,43.59579,154.14906
35.42900,35.19416,36.07392,36.56793,44.89183,47.53494,45.19415,46.95606
36.15522,36.20410,86.50899,86.13896,44.52515,46.83995,44.54994,47.07098
36.44800,36.30209,36.53693,35.67600,46.78202,44.70611,47.02902,45.70603
38.37299,38.55705,37.81605,37.74905,78.36103,46.51380,78.32479,46.65589
40.53402,41.49294,43.72787,43.46395,134.27114,48.99502,133.45790,49.21913
35.03084,35.33792,179.34799,179.00896,45.10283,46.98801,44.84701,47.60194
44.77286,44.81888,34.76691,34.85894,45.08901,49.14308,45.04895,49.24107
64.54682,64.01587,42.85002,43.29920,45.27807,45.76588,45.52388,45.56990
34.31201,34.44195,33.67519,33.66709,45.51220,44.27886,45.38298,44.04998
39.84785,40.43889,36.44490,36.39483,45.27402,51.95999,44.37184,51.97501
35.96783,35.56299,114.00199,114.23683,44.37494,47.10388,44.89112,46.87095
37.98199,38.61499,54.52609,54.41904,47.41621,46.24987,46.61989,46.79203
283.55193,282.67789,56.09608,55.63116,96.48108,45.48717,97.24283,46.55004
44.02304,44.30604,50.55714,50.54808,45.25709,46.81897,44.64912,46.63491
34.71804,34.06286,33.89001,33.85019,44.66701,45.48883,45.35484,45.68291
35.03609,35.20322,55.21107,54.67510,100.31891,44.37995,100.12007,44.65699
34.98006,34.96599,57.02996,57.27887,94.51509,47.42503,94.58399,47.40906
36.83209,36.83901,64.41212,64.50796,44.70396,47.38808,44.85488,47.06907
37.92000,37.92095,43.44296,43.16688,46.84210,44.50107,46.84210,44.82508
43.36786,44.10982,38.73706,38.76495,46.30899,45.90201,45.88389,46.23604
41.20493,41.08286,39.46090,39.06989,148.63992,44.58308,148.97490,44.86203
42.44208,41.89301,73.40598,73.36712,45.67814,46.28301,46.26298,46.33403
34.38592,34.12795,36.43513,36.39412,44.89899,150.96807,45.28809,151.36409
34.31797,34.35183,34.56521,34.10602,46.19694,46.25893,46.04197,46.30303
43.41984,43.36596,33.82111,34.27410,43.50901,46.14687,43.94889,45.90201
39.28399,38.96689,33.98323,34.43313,77.90112,48.91801,78.19700,48.24400
34.14583,34.60097,41.64410,41.31198,44.91997,45.93492,44.53516,46.23699
34.87992,34.85584,33.20003,33.65088,45.17913,44.89398,44.98792,44.42716
33.42915,33.42915,34.63221,34.50012,45.21894,47.68801,45.26496,47.58501
40.75980,40.80296,48.79594,48.48504,46.42296,55.94301,46.33307,56.08392
35.99691,36.11898,52.22201,52.40107,45.79520,46.63301,45.70293,46.23795
43.26510,43.37001,38.64503,38.58089,52.32692,50.78602,52.18196,51.08309
34.05094,34.72304,34.95598,35.29000,51.32103,46.99612,50.68588,46.33212
37.40501,37.91213,56.96607,56.26702,47.29795,135.25987,46.66495,135.51188
38.56802,38.46693,39.06417,39.11400,49.98994,50.91286,49.83687,51.09096
36.04603,35.82907,45.44091,45.30096,45.94398,45.47286,45.85409,45.52722
35.82883,35.69579,35.46906,36.46088,161.31496,61.35702,184.29708,60.27508
34.50990,34.46102,43.06197,42.26089,87.45503,47.61505,87.23116,48.60687
74.99504,74.70894,40.95197,40.97795,54.54397,45.00508,54.82602,45.05396
45.69316,46.04697,108.15001,108.29401,44.95406,43.95604,44.47603,43.69402
43.47491,43.24102,43.39910,43.27989,50.56310,52.70386,50.95601,53.04384
108.31690,108.32810,38.85102,38.99384,44.11483,46.39602,44.24596,46.00620
38.07998,37.87208,36.55696,37.14800,45.05801,55.59611,45.09211,54.97408
